"","Abbey_RA1231","Audub_RA0639","Beave_OR0099","Borde_RA1443","Brook_RA0774","Butle_RA0878","Canem_OR0311","Cedar_RA1270","Chris_OR0244","CoopM_OR0291","Foste_RA0793","Gabbe_RA0808","Hylan_RA1790","LPowe_RA0670","OaksB_RA0721","Powel_RA0759","Tadpo_RA1832","Timbe_OR0163","Unit2_OR0328","Veter_RA0800","Water_RA0616"
"Abbey_RA1231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Audub_RA0639",0.0213505939379777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beave_OR0099",0.00752463481402139,0.0221620455366945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borde_RA1443",0.0276072991870624,0.0333679609154024,0.0332057941544694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brook_RA0774",0.0239250350401744,0.031057648800074,0.017659599741591,0.0121751651558043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butle_RA0878",0.0140186890496353,0.0176425648729176,0.0189285889569621,0.0153096526502487,0.0184339948292742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canem_OR0311",0.0128200724739507,0.0258488308559963,0.0178993043317756,0.0235197321757879,0.0154466650382165,0.0039535628779964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedar_RA1270",0.0168327735436013,0.0208441082087035,0.0190761272656293,0.0292499533277291,0.0150265123914157,0.0175841906987006,0.0231493265427033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris_OR0244",0.038225684763016,0.0583874993269716,0.0266631124991663,0.0631329283182282,0.0667567578092837,0.0447277273680593,0.0434761847916914,0.0543769103573426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CoopM_OR0291",0.03527839005766,0.0527623372234245,0.0281623960107253,0.0424390692240897,0.0327048490971558,0.0234976486108519,0.0293570552221948,0.0423759044896852,0.065848872078187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foste_RA0793",0.0206864541726929,0.0385739337657399,0.0191792384616958,0.024830189800984,0.000637664278864491,0.0244185754098228,0.0237458719924516,0.0122685386357495,0.0804652918368047,0.0281557998988311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabbe_RA0808",0.0440647211482904,0.0675844455950507,0.0434367635184942,0.0567321907378978,0.0303281327866504,0.0425779436979448,0.0354643714427103,0.0334282819273304,0.0937993641433603,0.0429653788655448,0.0309444495083615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylan_RA1790",0.0642778406162127,0.0979290697000781,0.0604706971294207,0.0792718660697563,0.0698402717679926,0.0780919341240302,0.0697462224542072,0.0801820260969991,0.101697095859238,0.0954898997483324,0.0802719565764808,0.0823428502888671,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPowe_RA0670",0.0181872868614354,0.0292925784415887,0.0171226081573584,0.014918035118229,0.00983519068393821,0.0175619592900411,0.0192916391595766,0.0193361920620917,0.0509376797758515,0.0260938544023587,0.0149877089166953,0.0365110131717118,0.0569670668768363,NA,NA,NA,NA,NA,NA,NA,NA
"OaksB_RA0721",0.0120312006910916,0.0251898943406781,0.0189086901408194,0.0252852664750569,0.0145639077523349,0.00502522435978078,0.00804396740240761,0.00892848251688642,0.0566205024283956,0.0305251232976366,0.0180731943731185,0.0102072216533231,0.0517373941690328,0.0103615139476141,NA,NA,NA,NA,NA,NA,NA
"Powel_RA0759",0.0136138338672801,0.0409826426441213,0.020885170351244,0.0203843542916675,0.0135784130463259,0.0174569051594047,0.0152278877274898,0.0272075638543398,0.0515307138503504,0.0373420558653903,0.0385590342261928,0.0503030009016519,0.0619344306029408,0.0134003970348539,0.0164584762969928,NA,NA,NA,NA,NA,NA
"Tadpo_RA1832",0.0237277495048349,0.0358586353436975,0.0170951832313991,0.050216902278323,0.0498520445110762,0.0373638934057709,0.0394742114263847,0.0396859044642834,0.0332042988274908,0.0515314739571955,0.0515328525773512,0.0578135218802858,0.0755252136084925,0.0322134807280882,0.0393781459404274,0.0422613243777221,NA,NA,NA,NA,NA
"Timbe_OR0163",0.0213045257894083,0.0291883378356316,0.00186556334832743,0.0346983395203652,0.0164005146137328,0.0143351946578034,0.0146358384587676,0.0177405112566068,0.0132114387647025,0.0311007590056625,0.0355731225296441,0.045524720857114,0.0753848775776856,0.025347222685171,0.0248127464732817,0.0257536833123032,0.0208943325476225,NA,NA,NA,NA
"Unit2_OR0328",0.0201168332693092,0.0417421345166015,0.00687293941514211,0.0338737368636793,0.0231211215799269,0.0195433375276648,0.023600499602925,0.0363313602615293,0.0232139412256447,0.029830969102969,0.0241363999644792,0.0622770709608192,0.0729424799187517,0.0192481192682101,0.030258960038727,0.0350685120257362,0.0383218718474877,-0.00583671961581092,NA,NA,NA
"Veter_RA0800",0.0342413352832474,0.0423157805450935,0.0282091997055353,0.0546288409495486,0.0307737121197523,0.0358597608283843,0.0428898239185284,0.0318561838231094,0.0778645263212848,0.0506203775849247,0.0196663474039134,0.0383573776645276,0.0821796931924601,0.0310608083712224,0.0294245703218367,0.0528570799697222,0.0405315408085423,0.0365189319672392,0.0346152161013797,NA,NA
"Water_RA0616",0.0213735847609923,0.0284677986322675,0.0238917647970649,-0.00269709605673191,0.0172897512248288,-0.00997113100447,0.00658513640639705,0.0262722058263099,0.0479402051103772,0.024865407582927,0.0309048882801128,0.0541704177028305,0.0853103120114201,0.0185455381946594,0.0119530473555562,0.0116648992576883,0.0334401508011311,0.0186302807662031,0.0234387234857054,0.0511970231457248,NA
